State,Year,Month,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
Virginia,2010,5,0.03460935483870968,0.04545161290322581,10.419354838709678,46.25806451612903,0.10201612903225805,0.1903225806451613,7.064516129032258,2.032258064516129,1.195136870967742,3.193548387096774,7.064516129032258,4.483870967741935,12.082844516129033,27.032258064516128,11.741935483870968,25.451612903225808
Virginia,2010,6,0.0426753947368421,0.05528947368421053,10.026315789473685,62.026315789473685,0.03497802631578947,0.08421052631578947,5.605263157894737,0.8421052631578947,1.4209554210526316,3.710526315789474,7.684210526315789,5.2894736842105265,10.609822657894737,21.81578947368421,12.342105263157896,20.5
Virginia,2010,7,0.04264065517241379,0.05512068965517242,9.982758620689655,61.172413793103445,0.05170608620689655,0.09827586206896552,3.189655172413793,0.9827586206896551,1.7385336896551724,6.5344827586206895,9.293103448275861,9.275862068965518,8.80749079310345,18.93103448275862,12.155172413793103,17.879310344827587
Virginia,2010,8,0.04248520967741935,0.055403225806451614,10.080645161290322,67.98387096774194,0.11817879032258063,0.17258064516129032,4.709677419354839,1.7741935483870968,1.816774370967742,6.001612903225807,10.016129032258064,8.064516129032258,8.04045685483871,16.94677419354839,11.774193548387096,15.693548387096774
Virginia,2010,9,0.03765151666666667,0.048233333333333336,10.6,51.46666666666667,0.14932865,0.20666666666666667,4.55,2.2666666666666666,1.6036140666666665,5.215,9.433333333333334,6.833333333333333,9.440492233333334,18.73166666666667,11.05,17.333333333333332
Virginia,2010,10,0.02791664516129032,0.036645161290322574,11.064516129032258,35.403225806451616,0.228069,0.31935483870967746,6.774193548387097,3.532258064516129,1.5161681129032256,3.3725806451612903,11.419354838709678,4.112903225806452,9.891685112903227,20.683870967741935,12.838709677419354,19.129032258064516
Virginia,2011,3,0.028,0.028333333333333335,22.0,26.0,0.25138900000000003,0.3,2.6666666666666665,3.3333333333333335,0.4972826666666667,1.7333333333333334,7.333333333333333,2.0,8.264553333333334,13.0,13.666666666666666,12.0
Virginia,2011,4,0.0377326404494382,0.044955056179775285,10.955056179775282,43.0,0.23991104494382023,0.2966292134831461,4.595505617977528,3.348314606741573,0.7891378314606742,3.0865168539325842,11.146067415730338,3.7191011235955056,7.197509303370787,17.37303370786517,11.02247191011236,15.96629213483146
Virginia,2011,5,0.037775344086021505,0.04881720430107527,10.78494623655914,49.29032258064516,0.1989247311827957,0.26021505376344084,5.086021505376344,2.795698924731183,0.7030735913978495,4.125806451612903,9.67741935483871,5.247311827956989,7.6939840215053765,17.650537634408604,12.333333333333334,16.204301075268816
Virginia,2011,6,0.04488174418604651,0.0586046511627907,10.232558139534884,69.38372093023256,0.32452383720930233,0.39418604651162786,4.941860465116279,4.523255813953488,0.4714398837209302,3.33953488372093,9.651162790697674,3.988372093023256,8.379442139534884,18.101162790697675,11.872093023255815,16.627906976744185
